bank,model,eval_country,gps_dimension,n_questions,r_mean,delta_tvd_base_to_adapter,gps_z_sign,r_sign,r_aligns
ksenias_base8,DEU_adapter,DEU,negrecip,4,0.8051567991965071,0.0160941295180955,-1.0,1.0,False
ksenias_base8,DEU_adapter,DEU,patience,4,0.989348862895118,0.0185878194172951,1.0,1.0,True
ksenias_base8,DEU_adapter,DEU,posrecip,2,,-0.1408044598907916,-1.0,,False
ksenias_base8,DEU_adapter,DEU,risktaking,4,0.5621689969255762,0.0604851896699688,-1.0,1.0,False
ksenias_base8,DEU_adapter,DEU,trust,12,0.6041966862060112,0.0914836991120807,-1.0,1.0,False
ksenias_base8,GBR_adapter,GBR,altruism,3,0.4758623541682214,0.3722716884654062,1.0,1.0,True
ksenias_base8,GBR_adapter,GBR,negrecip,4,0.9778521833916558,0.0668898784179113,1.0,1.0,True
ksenias_base8,GBR_adapter,GBR,patience,4,0.9872339420736164,0.0266303290128256,1.0,1.0,True
ksenias_base8,GBR_adapter,GBR,posrecip,2,,0.0234254457182771,-1.0,,False
ksenias_base8,GBR_adapter,GBR,risktaking,4,-0.6351918478186793,0.0570263638690513,1.0,-1.0,False
ksenias_base8,GBR_adapter,GBR,trust,12,0.902885617201192,0.0340315581700358,1.0,1.0,True
ksenias_base8,JPN_adapter,JPN,altruism,3,-0.882862427234712,-0.4553574015675549,-1.0,-1.0,True
ksenias_base8,JPN_adapter,JPN,negrecip,4,0.8924527440841221,0.005174953523344,1.0,1.0,True
ksenias_base8,JPN_adapter,JPN,patience,4,0.9993181747467182,-0.0083446439670938,1.0,1.0,True
ksenias_base8,JPN_adapter,JPN,posrecip,2,,-0.0893968644347074,-1.0,,False
ksenias_base8,JPN_adapter,JPN,risktaking,4,0.7005758952466468,-0.0272952918597895,-1.0,1.0,False
ksenias_base8,JPN_adapter,JPN,trust,12,0.4292660172493858,0.0589951241348809,-1.0,1.0,False
ksenias_base8,RUS_adapter,RUS,altruism,3,0.4263611733183123,-0.5851299678695769,-1.0,1.0,False
ksenias_base8,RUS_adapter,RUS,negrecip,4,0.8442012230989823,0.0865979493143978,-1.0,1.0,False
ksenias_base8,RUS_adapter,RUS,patience,4,0.9990157109178835,0.0055043894287449,-1.0,1.0,False
ksenias_base8,RUS_adapter,RUS,posrecip,2,,0.05608435411867,-1.0,,False
ksenias_base8,RUS_adapter,RUS,risktaking,4,0.392066593786901,0.1022884079780866,-1.0,1.0,False
ksenias_base8,RUS_adapter,RUS,trust,12,0.4658965908040379,0.1554180056441212,-1.0,1.0,False
usamex_canonical,MEX_adapter,MEX,altruism,3,0.0348662625129859,-0.2981521146024182,-1.0,1.0,False
usamex_canonical,MEX_adapter,MEX,negrecip,4,0.5644674661123885,-0.0090439384827036,-1.0,1.0,False
usamex_canonical,MEX_adapter,MEX,patience,4,0.99084313181767,-0.0494829536057874,-1.0,1.0,False
usamex_canonical,MEX_adapter,MEX,posrecip,2,,0.0294773086202176,-1.0,,False
usamex_canonical,MEX_adapter,MEX,risktaking,4,0.8181376235381826,0.0160975284923303,-1.0,1.0,False
usamex_canonical,MEX_adapter,MEX,trust,12,0.4938300237422344,0.0165924424336417,-1.0,1.0,False
usamex_canonical,USA_adapter,USA,altruism,3,0.5118946189030269,0.2596024123431049,1.0,1.0,True
usamex_canonical,USA_adapter,USA,negrecip,4,0.9294767812544468,0.3102014066364248,1.0,1.0,True
usamex_canonical,USA_adapter,USA,patience,4,0.9938163229266092,0.039913077828849,1.0,1.0,True
usamex_canonical,USA_adapter,USA,posrecip,2,,0.0851213251433022,1.0,,False
usamex_canonical,USA_adapter,USA,risktaking,4,-0.3475549380876427,0.0796929772870254,1.0,-1.0,False
usamex_canonical,USA_adapter,USA,trust,12,0.7629034843644564,0.1367471249796675,1.0,1.0,True
