country,trust,patience,log_gdp_pc
ARG,2.6713445820152213,2.5196262343066227,10.231372193040528
BRA,2.485683625440673,2.476736820346091,9.794106146036938
CHN,2.765234727362509,2.5934718247546447,9.729320204057291
DEU,2.508860146496874,2.5364174440561547,11.027020137518331
EGY,2.76797085154133,2.571019431912787,9.55657013997741
GBR,2.783796214362092,2.6774049695877373,10.860603039004323
GRC,2.0766778516325086,2.5056941284935474,10.379952071454738
IDN,2.7354325564494903,2.570947163695977,9.375955076412765
IND,2.0298969445062665,2.516773553524004,8.863719318140927
JPN,2.3228199032394508,2.469663627167981,10.72501771759918
MEX,2.452534139795255,2.448622319804176,9.984760332558874
NGA,2.523324771450767,2.4899411728004783,9.04894893088218
NLD,2.7630732265644915,2.677310720232631,11.090175656291336
RUS,2.321458149538004,2.480940519281595,10.488321620623646
TUR,2.8025547738943466,2.607941846274361,10.226950475773034
USA,2.734112611225214,2.60266607109014,11.104679404549774
