bank,model,eval_country,gps_dimension,n_questions,r_mean,delta_tvd_base_to_adapter
ksenias_base8,JPN_adapter,JPN,risktaking,4,0.7005758952466468,-0.027295291859789517
ksenias_base8,JPN_adapter,JPN,trust,12,0.4292660172493858,0.05899512413488095
ksenias_base8,RUS_adapter,RUS,altruism,3,0.42636117331831236,-0.5851299678695769
ksenias_base8,RUS_adapter,RUS,negrecip,4,0.8442012230989823,0.08659794931439785
ksenias_base8,RUS_adapter,RUS,patience,4,0.9990157109178835,0.005504389428744982
ksenias_base8,RUS_adapter,RUS,posrecip,2,,0.05608435411867008
ksenias_base8,RUS_adapter,RUS,risktaking,4,0.39206659378690106,0.10228840797808664
ksenias_base8,RUS_adapter,RUS,trust,12,0.46589659080403795,0.15541800564412128
usamex_canonical,MEX_adapter,MEX,altruism,3,0.03486626251298595,-0.2981521146024182
usamex_canonical,MEX_adapter,MEX,negrecip,4,0.5644674661123885,-0.009043938482703628
usamex_canonical,MEX_adapter,MEX,patience,4,0.9908431318176699,-0.04948295360578747
usamex_canonical,MEX_adapter,MEX,posrecip,2,,0.02947730862021769
usamex_canonical,MEX_adapter,MEX,risktaking,4,0.8181376235381826,0.01609752849233037
usamex_canonical,MEX_adapter,MEX,trust,12,0.49383002374223445,0.016592442433641774
usamex_canonical,USA_adapter,USA,altruism,3,0.5118946189030269,0.2596024123431049
usamex_canonical,USA_adapter,USA,negrecip,4,0.9294767812544467,0.31020140663642487
usamex_canonical,USA_adapter,USA,patience,4,0.9938163229266092,0.03991307782884901
usamex_canonical,USA_adapter,USA,posrecip,2,,0.08512132514330228
usamex_canonical,USA_adapter,USA,risktaking,4,-0.34755493808764276,0.0796929772870254
usamex_canonical,USA_adapter,USA,trust,12,0.7629034843644564,0.1367471249796675
