scale_family,tv_distance,entropy_error,std_error,mean_error,top_option_match,js_divergence
binary,0.1676,-0.1927,-0.092,0.1085,0.8298,0.0632
ordered_single,0.4737,-0.5782,-0.5834,0.308,0.4103,0.2691
