,abs_mean_err,abs_mean_err,entropy_err,entropy_err,jsd,jsd,tvd,tvd,delta_tvd,delta_entropy_err
model_kind,adapter,base,adapter,base,adapter,base,adapter,base,,
scale_family,,,,,,,,,,
binary,0.3184924781406135,0.16480134549031644,-0.2851842040100111,-0.1313873933181537,0.0800424574814527,0.041451586776400054,0.23960353498550763,0.16168243310303904,0.07792110188246859,-0.1537968106918574
multi_select,0.5679450661728125,0.5772430860276799,-0.5676598848309935,-0.5966578337784569,0.2632358459272206,0.27495876646079587,0.5679450661728124,0.57724308602768,-0.009298019854867667,0.028997948947463437
ordered,0.8417533090588133,0.8109280442131014,-0.5743307805609839,-0.4147430967796486,0.21484171870996843,0.18591913395173917,0.505715066429429,0.47356514830189556,0.03214991812753343,-0.15958768378133525
other,10.120787752839997,9.677445099001963,-1.825748841744973,-1.442694078847501,0.37854678788985835,0.31551886887324465,0.7302869692677381,0.6665625027280755,0.06372446653966257,-0.3830547628974721
