model,tvd,jsd,entropy_error,std_error,top_match
base,0.44350377074994074,0.24322357878683926,-0.49133813255568515,-0.5014040823581742,0.4672897196261682
noise,0.34898445275473994,0.1474370650961002,0.5867224072691677,0.3709857500444423,0.3808411214953271
persona,0.3657942018794573,0.1793874315984997,-0.39476707100853464,-0.41801320498614436,0.514018691588785
adapter,0.46999601588741136,0.27768307761865024,-0.701562520939753,-0.6294267272252889,0.47560541310541304
armA,0.3512184679814567,0.14959561288492051,0.5678589338514959,0.3626505636269162,0.292022792022792
armB,0.7173563977507511,0.588147783266943,-1.722267670150705,-1.2466568782236558,0.292022792022792
