,ARG_adapter,CHN_adapter,DEU_adapter,GBR_adapter,JPN_adapter,MEX_adapter,RUS_adapter,USA_adapter,BRA_adapter,EGY_adapter,GRC_adapter,IDN_adapter,IND_adapter,NGA_adapter,NLD_adapter,TUR_adapter,base
ARG_adapter,0.0,0.11087564035828228,0.11494466004133198,0.05250325725615817,0.165923901735664,0.12457106859046237,0.19298635416678642,0.21794623546055944,0.12191460172926886,0.07070594911268246,0.2804020825904578,0.07101281430441533,0.29831638355032186,0.03279371267969288,0.036254369660973326,0.027457646499101762,0.03251959065202031
CHN_adapter,0.11087564035828228,0.0,0.12848319120592586,0.08890669728127444,0.17155237490332853,0.13004279679693492,0.21410679567980287,0.25934517031748805,0.11366044589991603,0.019466509883133455,0.28608843058012806,0.019329907325979827,0.306387988177521,0.11558062068756497,0.12262827468348651,0.08099215368524537,0.06290249668067964
DEU_adapter,0.11494466004133198,0.12848319120592586,0.0,0.16953438017402028,0.03822268905835362,0.010622801499877132,0.05129167996624178,0.35964234296616165,0.02366536957626182,0.09268131438163121,0.13377352062515677,0.09271399033004371,0.15212823167053327,0.06559435003375862,0.15560285438929594,0.11424842487900391,0.054700284743191406
GBR_adapter,0.05250325725615817,0.08890669728127444,0.16953438017402028,0.0,0.22938072159828024,0.180794064384644,0.26029158935171076,0.1612323467490367,0.18736764418297758,0.06199699422247628,0.3478440183008017,0.06213578668376729,0.3664990920609004,0.09858545529450011,0.034041231916052024,0.03634676149389171,0.06324333753033799
JPN_adapter,0.165923901735664,0.17155237490332853,0.03822268905835362,0.22938072159828024,0.0,0.04952396982448139,0.032613160661083,0.38881286654024366,0.03963579169338441,0.13825653969303764,0.04793404024632406,0.13826406701790098,0.062444017023073714,0.0860321381338209,0.21781004134487436,0.16732836926578773,0.10064594995997718
MEX_adapter,0.12457106859046237,0.13004279679693492,0.010622801499877132,0.180794064384644,0.04952396982448139,0.0,0.04483893010404629,0.36738968752386164,0.020094106076226574,0.09293660346420464,0.13930040160143892,0.09301982534311574,0.15680410104436002,0.08039138147825696,0.17458783436913533,0.1266499361881735,0.0643972295319228
RUS_adapter,0.19298635416678642,0.21410679567980287,0.05129167996624178,0.26029158935171076,0.032613160661083,0.04483893010404629,0.0,0.4301365552025728,0.049995334238134376,0.1688909595266905,0.07941275897385355,0.16890704762774872,0.09153037450345235,0.10875976198980855,0.24960471793414013,0.1947136042024842,0.127127580052828
USA_adapter,0.21794623546055944,0.25934517031748805,0.35964234296616165,0.1612323467490367,0.38881286654024366,0.36738968752386164,0.4301365552025728,0.0,0.3659264256148337,0.22661553243420604,0.47394710537781987,0.22678555566409503,0.48616328718915186,0.2603263222255445,0.2112005120376308,0.17890904526812815,0.22501419688633248
BRA_adapter,0.12191460172926886,0.11366044589991603,0.02366536957626182,0.18736764418297758,0.03963579169338441,0.020094106076226574,0.049995334238134376,0.3659264256148337,0.0,0.08514387781911298,0.13034580801700393,0.08507848570073497,0.14906313613593447,0.0753785337044901,0.18540177029874902,0.13322068846649487,0.06706420327465072
EGY_adapter,0.07070594911268246,0.019466509883133455,0.09268131438163121,0.06199699422247628,0.13825653969303764,0.09293660346420464,0.1688909595266905,0.22661553243420604,0.08514387781911298,0.0,0.2539064756810206,7.407825201795774e-06,0.27320785181354734,0.07481191444425143,0.0867068434599705,0.047434697678839184,0.026364743785847446
GRC_adapter,0.2804020825904578,0.28608843058012806,0.13377352062515677,0.3478440183008017,0.04793404024632406,0.13930040160143892,0.07941275897385355,0.47394710537781987,0.13034580801700393,0.2539064756810206,0.0,0.2538496068253229,0.001544984911745564,0.1775775138232826,0.3365159775577657,0.27704790119505623,0.21249277880561124
IDN_adapter,0.07101281430441533,0.019329907325979827,0.09271399033004371,0.06213578668376729,0.13826406701790098,0.09301982534311574,0.16890704762774872,0.22678555566409503,0.08507848570073497,7.407825201795774e-06,0.2538496068253229,0.0,0.27315156880937963,0.07492194373906928,0.0868501902618938,0.047576657836111355,0.026463601786492635
IND_adapter,0.29831638355032186,0.306387988177521,0.15212823167053327,0.3664990920609004,0.062444017023073714,0.15680410104436002,0.09153037450345235,0.48616328718915186,0.14906313613593447,0.27320785181354734,0.001544984911745564,0.27315156880937963,0.0,0.19248640282079552,0.3551076680022169,0.2938898048794939,0.23064807057458586
NGA_adapter,0.03279371267969288,0.11558062068756497,0.06559435003375862,0.09858545529450011,0.0860321381338209,0.08039138147825696,0.10875976198980855,0.2603263222255445,0.0753785337044901,0.07481191444425143,0.1775775138232826,0.07492194373906928,0.19248640282079552,0.0,0.06758567205851888,0.03617632140030699,0.02816305455242955
NLD_adapter,0.036254369660973326,0.12262827468348651,0.15560285438929594,0.034041231916052024,0.21781004134487436,0.17458783436913533,0.24960471793414013,0.2112005120376308,0.18540177029874902,0.0867068434599705,0.3365159775577657,0.0868501902618938,0.3551076680022169,0.06758567205851888,0.0,0.022095018935044227,0.05923716018149735
TUR_adapter,0.027457646499101762,0.08099215368524537,0.11424842487900391,0.03634676149389171,0.16732836926578773,0.1266499361881735,0.1947136042024842,0.17890904526812815,0.13322068846649487,0.047434697678839184,0.27704790119505623,0.047576657836111355,0.2938898048794939,0.03617632140030699,0.022095018935044227,0.0,0.026016121277522126
base,0.03251959065202031,0.06290249668067964,0.054700284743191406,0.06324333753033799,0.10064594995997718,0.0643972295319228,0.127127580052828,0.22501419688633248,0.06706420327465072,0.026364743785847446,0.21249277880561124,0.026463601786492635,0.23064807057458586,0.02816305455242955,0.05923716018149735,0.026016121277522126,0.0
