pair,n_items,mean_abs_model_mean_diff,median_abs_model_mean_diff,max_abs_model_mean_diff,max_item,mean_abs_tvd_diff
IND≡GRC,35,0.06131197496964342,0.025836720359867282,0.46140375118943666,Q261,0.1348620522249075
IDN≡EGY,32,0.0030116026028517485,0.001320850654809691,0.017191072388927253,Q195,0.12402096819553178
MEX≡RUS,35,0.3107140954106472,0.18529819545106196,2.5078209665468876,Q261,0.1086421926504154
