model,eval_country,gps_dimension,z,bias_base,bias_adapter,movement,shrunk,z_aligned
BRA_adapter,BRA,altruism,0.46435976,0.9584767746366586,0.09010227654591572,-0.8683744980907429,True,False
BRA_adapter,BRA,negrecip,-0.20162958,0.5817178107401971,-0.13016102056130635,-0.7118788313015034,True,True
BRA_adapter,BRA,patience,-0.2600402,-0.35020279897380974,-0.44685210713948564,-0.0966493081656759,False,True
BRA_adapter,BRA,posrecip,0.3512382,-0.2871581833593977,-0.2289939032599425,0.05816428009945518,True,True
BRA_adapter,BRA,risktaking,-0.2505968,1.2238643906880302,0.9794640693769165,-0.24440032131111367,True,True
BRA_adapter,BRA,trust,-0.0026891388,-0.5059961849759279,-0.33341154011743335,0.17258464485849456,True,False
EGY_adapter,EGY,altruism,0.63414615,1.0430462957227382,0.9476940274274317,-0.09535226829530652,True,False
EGY_adapter,EGY,negrecip,0.034835815,0.15575550164455998,-0.3874058400576257,-0.5431613417021857,False,False
EGY_adapter,EGY,patience,-0.3831945,-0.22881114590324236,-0.23121403681131497,-0.002402890908072608,False,True
EGY_adapter,EGY,posrecip,0.5699845,-0.3322108852326935,-0.38779478311978133,-0.05558389788708784,False,False
EGY_adapter,EGY,risktaking,-0.2808962,1.2152123184568695,1.1024344339069752,-0.11277788454989435,True,True
EGY_adapter,EGY,trust,0.6090209,-0.30407748496680104,-0.39138824670525385,-0.08731076173845281,False,False
GRC_adapter,GRC,altruism,-0.17281643,1.020633636162657,-0.015468156527306466,-1.0361017926899634,True,True
GRC_adapter,GRC,negrecip,0.429323,0.9432615439545327,0.42885158374021337,-0.5144099602143193,True,False
GRC_adapter,GRC,patience,-0.3600854,-0.06410464239731617,-0.11629352361613304,-0.052188881218816874,False,True
GRC_adapter,GRC,posrecip,-0.04377335,-0.49863016080047784,-0.12951597958061267,0.36911418121986517,True,False
GRC_adapter,GRC,risktaking,-0.15707357,1.3871712982509679,0.9907559476948489,-0.396415350556119,True,True
GRC_adapter,GRC,trust,-0.3515055,-0.41106203662156027,0.17058877742990564,0.5816508140514659,True,False
IDN_adapter,IDN,altruism,0.10292665,0.5948173200243428,0.4981829245146951,-0.09663439550964775,True,False
IDN_adapter,IDN,negrecip,0.15127298,0.341807575506672,-0.20989301329853693,-0.5517005888052089,True,False
IDN_adapter,IDN,patience,-0.3618209,-0.442458091313533,-0.44493304149285834,-0.0024749501793253637,False,True
IDN_adapter,IDN,posrecip,0.14521286,-0.11023125959794078,-0.16588733119676258,-0.0556560715988218,False,False
IDN_adapter,IDN,risktaking,-0.3216432,0.36051082325564066,0.2501774196596429,-0.11033340359599775,True,True
IDN_adapter,IDN,trust,0.26359722,-0.17074448362833292,-0.23760835913108233,-0.06686387550274941,False,False
IND_adapter,IND,altruism,-0.26762176,0.5640969472622003,-0.4862083538416475,-1.050305301103848,True,True
IND_adapter,IND,negrecip,0.07119843,-0.16094725579756575,-0.6719282222436345,-0.5109809664460687,False,False
IND_adapter,IND,patience,-0.108732834,-0.4497609517699244,-0.48534250991886735,-0.03558155814894293,False,True
IND_adapter,IND,posrecip,-0.4538296,-0.25773674554872117,0.13199077577973162,0.3897275213284528,True,False
IND_adapter,IND,risktaking,-0.2752474,0.3110174667361041,-0.04401247287221677,-0.35502993960832085,True,True
IND_adapter,IND,trust,-0.20398138,0.02247695453845716,0.6509113369486487,0.6284343824101914,False,False
NGA_adapter,NGA,altruism,-0.14435506,0.710022806249753,0.7822588143444325,0.07223600809467945,False,False
NGA_adapter,NGA,negrecip,0.17650473,0.8477999734888471,1.5738872634804317,0.7260872899915847,False,True
NGA_adapter,NGA,patience,-0.20041943,-0.05525895156650179,-0.13814076553396032,-0.08288181396745853,False,True
NGA_adapter,NGA,posrecip,-0.37476322,-0.21723497626889254,-0.12153998978266567,0.09569498648622687,True,False
NGA_adapter,NGA,risktaking,0.3859835,0.6100746510261609,0.6619375481874076,0.0518628971612467,False,True
