layer_unit,human_rho_42,n_human,adapter_rho_16,n_adapter
all12,0.38060124787294386,42,0.7941176470588236,16
family,0.21853982659427923,42,0.7255336769217332,16
ingroup,0.3417065067660644,42,0.6588235294117648,16
outgroup,0.05696458957945062,42,0.8147058823529412,16
institutions,0.36893282554088,42,0.6529411764705881,16
Q57,0.15031196823596144,42,0.8609160647753271,16
Q58,0.21853982659427923,42,0.7255336769217332,16
Q69,0.5449315290495098,42,0.7642857142857141,15
Q70,0.4076655052264809,42,0.825,15
