model_kind,scale_family,n,tvd,jsd,entropy_err,abs_mean_err
adapter,binary,53,0.23960353498550763,0.0800424574814527,-0.2851842040100111,0.3184924781406135
adapter,multi_select,54,0.5679450661728124,0.2632358459272206,-0.5676598848309935,0.5679450661728125
adapter,ordered,483,0.505715066429429,0.21484171870996843,-0.5743307805609839,0.8417533090588133
adapter,other,36,0.7302869692677381,0.37854678788985835,-1.825748841744973,10.120787752839997
base,binary,53,0.16168243310303904,0.041451586776400054,-0.1313873933181537,0.16480134549031644
base,multi_select,54,0.57724308602768,0.27495876646079587,-0.5966578337784569,0.5772430860276799
base,ordered,483,0.47356514830189556,0.18591913395173917,-0.4147430967796486,0.8109280442131014
base,other,36,0.6665625027280755,0.31551886887324465,-1.442694078847501,9.677445099001963
