model,country,cd
ARG_adapter,ARG,0.19561300485922167
ARG_adapter,AUS,0.16406595217838768
ARG_adapter,BGD,0.3041196661079074
ARG_adapter,BOL,0.24396840656046945
ARG_adapter,BRA,0.20437388611436308
ARG_adapter,CAN,0.13816732881461669
ARG_adapter,CHL,0.19722158875571044
ARG_adapter,CHN,0.2705307350314333
ARG_adapter,COL,0.20689725984883037
ARG_adapter,CZE,0.1654481419168912
ARG_adapter,DEU,0.2006649990256471
ARG_adapter,EGY,0.3110938940608614
ARG_adapter,GBR,0.1618676201884764
ARG_adapter,GRC,0.2511774181258486
ARG_adapter,GTM,0.18661608151570908
ARG_adapter,IDN,0.22052285796597812
ARG_adapter,IND,0.16780200737122744
ARG_adapter,IRN,0.17090209162439376
ARG_adapter,IRQ,0.19957147906729603
ARG_adapter,JOR,0.22568227473084096
ARG_adapter,JPN,0.24930580702648197
ARG_adapter,KAZ,0.17924912599184287
ARG_adapter,KEN,0.1548316376304923
ARG_adapter,KOR,0.202071874729747
ARG_adapter,MAR,0.20483295622364445
ARG_adapter,MEX,0.215541294839595
ARG_adapter,NGA,0.22588926675562676
ARG_adapter,NIC,0.22107900202379924
ARG_adapter,NLD,0.20392716559521856
ARG_adapter,PAK,0.21530673523285654
ARG_adapter,PER,0.29702841106971345
ARG_adapter,PHL,0.17828237249079334
ARG_adapter,ROU,0.2651804612864033
ARG_adapter,RUS,0.1730138140755369
ARG_adapter,SRB,0.1816439494497417
ARG_adapter,THA,0.1622779987206733
ARG_adapter,TUR,0.20626990055905747
ARG_adapter,UKR,0.19680842865168882
ARG_adapter,USA,0.153889435759378
ARG_adapter,VEN,0.263152803337337
ARG_adapter,VNM,0.2345324273793733
ARG_adapter,ZWE,0.19170874287812548
CHN_adapter,ARG,0.19026401866504097
CHN_adapter,AUS,0.1396561970735539
CHN_adapter,BGD,0.2917028085348085
CHN_adapter,BOL,0.25717698197857275
CHN_adapter,BRA,0.20399516749794383
CHN_adapter,CAN,0.13509812678970168
CHN_adapter,CHL,0.21158063830515025
CHN_adapter,CHN,0.24220264567245017
CHN_adapter,COL,0.22258224714290636
CHN_adapter,CZE,0.17708265399310705
CHN_adapter,DEU,0.1525827948885082
CHN_adapter,EGY,0.3145801884307632
CHN_adapter,GBR,0.13398922162598206
CHN_adapter,GRC,0.2251285773427912
CHN_adapter,GTM,0.20769342001137445
CHN_adapter,IDN,0.22534418908500664
CHN_adapter,IND,0.17208779169861996
CHN_adapter,IRN,0.17947297249102886
CHN_adapter,IRQ,0.21149034043721526
CHN_adapter,JOR,0.22369013663264214
CHN_adapter,JPN,0.23544301207335058
CHN_adapter,KAZ,0.18334159879548986
