bank,eval_country,gps_dimension,matched_tvd,mean_cross_tvd,best_cross_tvd,delta_vs_mean_cross,delta_vs_best_cross,n_cross_adapters
usamex_canonical,MEX,altruism,0.1518049391917254,0.7095594661372484,0.7095594661372484,-0.557754526945523,-0.557754526945523,1
usamex_canonical,MEX,negrecip,0.4973541194898881,0.6889312367943652,0.6889312367943652,-0.19157711730447707,-0.19157711730447707,1
usamex_canonical,MEX,patience,0.6353673274817939,0.7247633589164304,0.7247633589164304,-0.08939603143463648,-0.08939603143463648,1
usamex_canonical,MEX,posrecip,0.26809741072295945,0.35003784892570544,0.35003784892570544,-0.08194043820274599,-0.08194043820274599,1
usamex_canonical,MEX,risktaking,0.5459007799928896,0.6575911907610265,0.6575911907610265,-0.1116904107681369,-0.1116904107681369,1
usamex_canonical,MEX,trust,0.545014059409075,0.6562184946485347,0.6562184946485347,-0.11120443523945966,-0.11120443523945966,1
usamex_canonical,USA,altruism,0.6620182675861574,0.19934613774281637,0.19934613774281637,0.46267212984334105,0.46267212984334105,1
usamex_canonical,USA,negrecip,0.6965446712874914,0.3939984517931096,0.3939984517931096,0.3025462194943818,0.3025462194943818,1
usamex_canonical,USA,patience,0.6585577218760956,0.564663958323266,0.564663958323266,0.09389376355282963,0.09389376355282963,1
usamex_canonical,USA,posrecip,0.2938908704544527,0.20059937050523646,0.20059937050523646,0.09329149994921626,0.09329149994921626,1
usamex_canonical,USA,risktaking,0.6300023912480444,0.580463129997101,0.580463129997101,0.04953926125094332,0.04953926125094332,1
usamex_canonical,USA,trust,0.39831533288076804,0.31533415211469323,0.31533415211469323,0.0829811807660748,0.0829811807660748,1
co2_8,BRA,altruism,0.12480832889179837,0.47154225630201657,0.04398821823975654,-0.3467339274102182,0.08082011065204184,7
co2_8,BRA,negrecip,0.38656268900274354,0.47324435214215427,0.388672018430635,-0.08668166313941073,-0.0021093294278914376,7
co2_8,BRA,patience,0.7625282040144569,0.6842049984041806,0.6014383783934651,0.07832320561027628,0.16108982562099172,7
co2_8,BRA,posrecip,0.2725926848827927,0.3003489621111449,0.23869096720069186,-0.027756277228352222,0.033901717682100846,7
co2_8,BRA,risktaking,0.6413641566965497,0.6257087643951097,0.5636365174065644,0.015655392301439974,0.07772763928998527,7
co2_8,BRA,trust,0.4442680932997531,0.45358779273209837,0.33852431114745074,-0.009319699432345285,0.10574378215230235,7
co2_8,EGY,altruism,0.603571263539723,0.434343614160099,0.0183808176833998,0.16922764937962403,0.5851904458563232,7
co2_8,EGY,negrecip,0.360159844781956,0.4539462049898127,0.3594548590002014,-0.09378636020785669,0.0007049857817545968,7
co2_8,EGY,patience,0.8321876254423782,0.7575500079701044,0.6144282864906763,0.07463761747227382,0.21775933895170196,7
co2_8,EGY,posrecip,0.38896390398294906,0.3753425303429116,0.3150803718522169,0.01362137364003746,0.07388353213073218,7
co2_8,EGY,risktaking,0.7371661928959999,0.6712459503829444,0.538622886908982,0.0659202425130555,0.19854330598701797,7
co2_8,EGY,trust,0.551703587864572,0.4753445628328167,0.3768561971767429,0.07635902503175529,0.17484739068782906,7
co2_8,GRC,altruism,0.01412887952038,0.503233532084092,0.0188605717203137,-0.48910465256371205,-0.004731692199933701,7
co2_8,GRC,negrecip,0.36994109234001804,0.45803379131508865,0.3474824860200304,-0.0880926989750706,0.02245860631998764,7
co2_8,GRC,patience,0.4921321662003705,0.6266941777955874,0.484551074226369,-0.13456201159521697,0.007581091974001475,7
co2_8,GRC,posrecip,0.36006070791688494,0.3582919705509008,0.28780872467636787,0.001768737365984152,0.07225198324051707,7
co2_8,GRC,risktaking,0.49442673041911117,0.5540881876329348,0.4877036903852647,-0.0596614572138236,0.006723040033846495,7
co2_8,GRC,trust,0.4313269393560127,0.460060267930644,0.3539949979635654,-0.02873332857463129,0.07733194139244726,7
co2_8,IDN,altruism,0.3291237801427413,0.36198801712871964,0.16259449267797343,-0.032864236985978346,0.16652928746476786,7
co2_8,IDN,negrecip,0.49350912121856255,0.547312975252894,0.4911575648151939,-0.053803854034331466,0.0023515564033686487,7
co2_8,IDN,patience,0.7882326171845239,0.7152161549472781,0.6297966472296146,0.07301646223724578,0.15843596995490927,7
co2_8,IDN,posrecip,0.47614294916834216,0.4810458739150419,0.42447173199192906,-0.004902924746699733,0.0516712171764131,7
co2_8,IDN,risktaking,0.6859044848444525,0.6304155004456915,0.5216875675526007,0.05548898439876104,0.16421691729185184,7
co2_8,IDN,trust,0.5572819903255496,0.4914483642336955,0.39866910815303985,0.06583362609185411,0.15861288217250974,7
co2_8,IND,altruism,0.3316559451245222,0.4023025106142661,0.1867374106893999,-0.0706465654897439,0.1449185344351223,7
co2_8,IND,negrecip,0.4870244594948753,0.5161025001383138,0.46034679126017775,-0.029078040643438552,0.026677668234697527,7
