pair,cfst_between_adapters,cfst_a_vs_base,cfst_b_vs_base,rank_among_adapter_pairs,n_adapter_pairs,pctile
IND≡GRC,0.0015449849117455,0.2306480705745858,0.2124927788056112,2,120,0.016666666666666666
IDN≡EGY,7.407825201795774e-06,0.0264636017864926,0.0263647437858474,1,120,0.008333333333333333
MEX≡RUS,0.0448389301040462,0.0643972295319228,0.127127580052828,18,120,0.15
