country,item,mean,n
CHL,Q43,1.6243084476479908,935
CHL,Q50,6.044731161135554,985
CHL,Q106,3.9975479704294807,986
CHL,Q107,5.489723853783695,914
CHL,Q109,4.593434836129443,971
CHL,Q178,3.2695452945765737,973
CHL,Q81,2.694705305095568,961
CHL,Q176,5.497658880602947,943
CHL,Q177,6.38398300286844,962
CHL,Q179,8.83558666677957,989
CHL,Q195,4.2284053021381975,971
CHL,Q99,0.16934698562473421,1000
CHL,Q101,0.17501106119159754,1000
CHL,Q103,0.14049888678411174,1000
CHL,Q69,2.414421887995471,987
CHL,Q70,2.1119498139903707,982
CHL,Q71,2.1676403712705707,983
CHN,Q57,0.6397954709647239,3009
CHN,Q58,3.844752409004351,3027
CHN,Q59,2.989086175970081,3026
CHN,Q60,3.01703129677125,3025
CHN,Q61,1.9503205317072771,3022
CHN,Q62,1.9716134575373057,2998
CHN,Q63,1.911041019476566,2997
CHN,Q64,1.9855321782268678,3007
CHN,Q73,3.3025729852935637,3022
CHN,Q43,2.3606097379506776,3020
CHN,Q50,6.456990430896925,3027
CHN,Q106,5.529817276894971,3026
CHN,Q107,5.63534836145638,3003
CHN,Q109,3.4294832457597897,3021
CHN,Q178,1.6286874105199052,3029
CHN,Q81,2.8428350272775664,3017
CHN,Q176,5.15030482984121,2987
CHN,Q177,7.625751984014553,3024
CHN,Q179,9.709789568355536,3029
CHN,Q195,5.341947802188264,3023
CHN,Q99,0.05245691692997019,3023
CHN,Q101,0.034261884463739976,3019
CHN,Q103,0.08976764761373698,3020
CHN,Q69,3.115933929992775,3026
CHN,Q70,3.135306822380281,3022
CHN,Q71,3.419975730424968,3027
COL,Q57,0.045394736842105265,1520
COL,Q58,3.5460526315789473,1520
COL,Q59,2.3526315789473684,1520
COL,Q60,2.543421052631579,1520
COL,Q61,1.6993421052631579,1520
COL,Q62,2.0875,1520
COL,Q63,1.9210526315789473,1520
COL,Q64,2.813815789473684,1520
COL,Q73,1.6927631578947369,1520
COL,Q43,2.379605263157895,1520
COL,Q50,6.615131578947368,1520
COL,Q106,6.2993421052631575,1520
COL,Q107,6.009868421052632,1520
COL,Q109,4.601315789473684,1520
COL,Q178,3.6638157894736842,1520
COL,Q81,2.4625,1520
COL,Q176,5.074342105263158,1520
COL,Q177,7.222368421052631,1520
COL,Q179,9.413815789473684,1520
COL,Q195,3.9625,1520
COL,Q99,0.45789473684210524,1520
COL,Q101,0.42105263157894735,1520
COL,Q103,0.4513157894736842,1520
COL,Q69,2.167105263157895,1520
COL,Q70,1.9098684210526315,1520
COL,Q71,1.8828947368421052,1520
CZE,Q57,0.3703894597155549,1191
CZE,Q58,3.594207256016441,1197
CZE,Q59,2.8858185502154807,1199
CZE,Q60,3.143242254809701,1198
CZE,Q61,2.2457637517999727,1195
CZE,Q62,2.398449203664896,1140
CZE,Q63,2.3319373362924583,1176
CZE,Q64,2.1490492855973544,1150
CZE,Q73,2.2134615529224204,1181
CZE,Q43,2.009531132424224,1180
CZE,Q50,6.408928883726146,1197
CZE,Q106,6.497124236183332,1199
CZE,Q107,5.641112549065964,1183
CZE,Q109,3.714964163313974,1195
CZE,Q178,4.426844422897577,1190
CZE,Q81,2.5895156431655066,1175
CZE,Q176,5.276244133631154,1188
CZE,Q177,7.656252047213418,1186
CZE,Q179,8.3189655101792,1194
CZE,Q195,4.845949531269094,1183
CZE,Q99,0.03812255196507766,1198
CZE,Q101,0.04479032369704842,1197
CZE,Q103,0.05160591259228101,1198
CZE,Q69,2.781038343580844,1192
CZE,Q70,2.6469500338182783,1177
CZE,Q71,2.147124070262441,1188
DEU,Q57,0.45951417004048584,1482
DEU,Q58,3.831254103742613,1523
DEU,Q59,2.941567065073041,1506
DEU,Q60,3.2093791281373845,1514
DEU,Q61,2.1945945945945944,1480
DEU,Q62,2.6050295857988166,1352
DEU,Q63,2.6319595083152567,1383
DEU,Q64,2.236914600550964,1452
DEU,Q73,2.3728581220013707,1459
DEU,Q43,1.938388625592417,1477
DEU,Q50,7.111915734035549,1519
DEU,Q106,5.810092961487384,1506
DEU,Q107,5.319464033850494,1418
DEU,Q109,3.462408516300732,1503
DEU,Q178,1.8295081967213114,1525
DEU,Q81,2.726008344923505,1438
DEU,Q176,5.995986622073579,1495
DEU,Q177,9.461741424802112,1516
DEU,Q179,9.837696335078535,1528
DEU,Q195,2.5257936507936507,1512
DEU,Q99,0.18754098360655738,1525
DEU,Q101,0.21639344262295082,1525
DEU,Q103,0.0898360655737705,1525
DEU,Q69,3.0932539682539684,1512
DEU,Q70,2.919376693766938,1476
DEU,Q71,2.3766846361185983,1484
EGY,Q57,0.07351712614870509,1197
EGY,Q58,3.9266666666666667,1200
EGY,Q59,3.190158465387823,1199
EGY,Q60,3.3402835696413677,1199
EGY,Q61,1.903523489932886,1192
EGY,Q62,2.464406779661017,1180
EGY,Q63,1.8507067137809188,1132
EGY,Q64,2.9735720375106562,1173
EGY,Q73,1.540485829959514,988
EGY,Q43,2.8411614005123824,1171
EGY,Q50,4.693911592994162,1199
EGY,Q106,6.74496644295302,1192
EGY,Q107,6.40438596491228,1140
EGY,Q109,2.59402460456942,1138
EGY,Q178,1.5925925925925926,1188
EGY,Q81,2.4919441460794842,931
EGY,Q176,4.574733096085409,1124
