model,eval_country,n,mean_reward_delta,median_reward_delta,preference_accuracy,mean_dpo_pref_prob,mean_ref_margin,mean_adapter_margin
Mexico_adapter,Mexico,70,3.102857142857143,2.975,0.9857142857142858,0.9089465314497323,-8.721428571428572,22.307142857142857
Mexico_adapter,US,70,-1.0285714285714285,-1.175,0.21428571428571427,0.3156701610894488,-8.707142857142857,-18.992857142857144
US_adapter,Mexico,70,-1.2264285714285714,-1.375,0.2714285714285714,0.301701821301031,-8.721428571428572,-20.985714285714284
US_adapter,US,70,3.2392857142857148,3.325,0.9714285714285714,0.907735741689161,-8.707142857142857,23.685714285714287
