facet,spec,n,b_female,b_age,b_age2,b_educ,se_female,se_age,se_age2,se_educ
m_trust_general,USA,2558,-0.05869135483714307,-1.0480888422319898,1.3311949063076247,0.0659373488615932,0.01968739811292139,0.33729231316481084,0.3519042874520321,0.006057504244800356
m_trust_general,MEX,1728,0.011377884255377757,-0.46924693561078445,0.48677162808128444,0.008182645831616661,0.014774163496732386,0.2409414532362826,0.2544756160840261,0.004847877978034293
m_trust_general,pooled,94533,-0.012852134524829372,-0.0688146982115654,0.15645441294959153,0.018176068504536385,0.004001839860343588,0.07525303979946703,0.09497567786234574,0.0038122040657214504
m_trust_in_group,USA,2561,-0.0005058570831765892,-0.3134777143217223,0.4799540700185567,0.01932458420035187,0.006942144067807275,0.11899262168478003,0.12415596214456091,0.0021360352574533764
m_trust_in_group,MEX,1731,-0.00025702112675287417,0.12659427373409682,-0.02266562767271027,0.016992964078291116,0.009834891057606968,0.16047111745414477,0.16951037021940807,0.0032295342025444834
m_trust_in_group,pooled,95609,-0.008246036427333278,-0.2214012418247691,0.28743774247967846,0.0063872712515469976,0.002348420914385363,0.032242910016415646,0.03478752361271117,0.0010303974664452589
m_trust_out_group,USA,2560,0.009142254116333797,-0.380439984041082,0.6793161019144182,0.02153161612062262,0.007089668542950506,0.12164028843318041,0.12689535095404483,0.002181307740587997
m_trust_out_group,MEX,1731,-0.009313428555182425,0.048659871282380134,0.056416593145681475,0.015500052543869776,0.010724042166960766,0.1749789621539837,0.18483543410112563,0.0035215093654688777
m_trust_out_group,pooled,95475,-0.017161299456277937,-0.09601040627302328,0.2313502812712339,0.009146530871651803,0.003041661970329592,0.040549932644208565,0.048795149878096314,0.0012046158180282949
m_trust_institution,USA,2561,0.030361644261563746,-0.06990451052147455,0.32981089835578425,0.0009052222772482479,0.007480657574497704,0.12822307460362853,0.1337869438553899,0.0023017310173901098
m_trust_institution,MEX,1731,0.015952803337775222,-0.26341876147919135,0.3174673111248704,-0.0037104178127903785,0.010640443374957847,0.17361492146538363,0.18339455772544383,0.0034940575964067275
m_trust_institution,pooled,95456,0.011256174825211879,-0.3090052972823227,0.4140228094014972,-0.004178509769558986,0.0020810229662713373,0.03956502070319421,0.04102988218124984,0.0017651575365070875
m_patience_child_qualities,USA,2560,0.04264772472403425,0.26981740958838923,-0.25393485571050317,-0.02035149365182698,0.012847898815379,0.22069540238318058,0.23043384584466117,0.003956381590696926
m_patience_child_qualities,MEX,1729,-0.014037509799986228,-0.22138660930320048,0.26607659769599773,-0.008201807846947943,0.015270447172953342,0.249036192133819,0.2630883481150154,0.005012069072700082
m_patience_child_qualities,pooled,94999,0.010153730590859717,-0.07740128810304961,0.08499679159502463,-0.00601365241910392,0.0029689985360218736,0.04335030776008661,0.04357949249854337,0.0019385087656752734
m_patience_work_values,USA,2553,0.005351333653301141,0.24722753754290547,0.29022641621837825,-0.0255289014695552,0.015621506105295217,0.2682771220572464,0.2802018126517482,0.004803252077602396
m_patience_work_values,MEX,1724,-0.039475038933474996,0.2745873928120061,-0.2978220622904802,0.005421060513606203,0.021294910800876712,0.347245892489458,0.36677575034027454,0.006999787789757041
m_patience_work_values,pooled,93746,3.290230048343375e-05,-0.13297593049391668,0.36522725796489186,-0.0020481700373009984,0.0051292080849438875,0.07506613380396648,0.08709905196671469,0.0022170799505188605
m_patience_financial,USA,2544,-0.015834557930546427,-1.086781795289951,1.4136042121195622,0.025360036652934143,0.010745484377826377,0.18449037106177046,0.19277424928067846,0.0033004513996610727
